
accumulo_GL_Tran_Gauss,99
accumulo_GL_Tran_KNN1,97
accumulo_GL_Tran_KNN10,97
accumulo_GL_Tran_KNN3,97
accumulo_GL_Tran_KNN5,96
accumulo_GL_Tran_Log,100
accumulo_Tran_Gauss,99
accumulo_Tran_KNN1,97
accumulo_Tran_KNN10,97
accumulo_Tran_KNN3,97
accumulo_Tran_KNN5,96
accumulo_Tran_Log,100
accumulo_Und_GL_Tran_Gauss,99
accumulo_Und_GL_Tran_KNN1,96
accumulo_Und_GL_Tran_KNN10,96
accumulo_Und_GL_Tran_KNN3,96
accumulo_Und_GL_Tran_KNN5,96
accumulo_Und_GL_Tran_Log,100
accumulo_Und_Tran_Gauss,99
accumulo_Und_Tran_KNN1,97
accumulo_Und_Tran_KNN10,96
accumulo_Und_Tran_KNN3,97
accumulo_Und_Tran_KNN5,96
accumulo_Und_Tran_Log,100
ant2_GL_Tran_Gauss,40
ant2_GL_Tran_KNN1,59
ant2_GL_Tran_KNN10,71
ant2_GL_Tran_KNN3,62
ant2_GL_Tran_KNN5,66
ant2_GL_Tran_Log,67
ant2_Tran_Gauss,69
ant2_Tran_KNN1,59
ant2_Tran_KNN10,71
ant2_Tran_KNN3,62
ant2_Tran_KNN5,66
ant2_Tran_Log,72
ant2_Und_GL_Tran_Gauss,39
ant2_Und_GL_Tran_KNN1,57
ant2_Und_GL_Tran_KNN10,67
ant2_Und_GL_Tran_KNN3,60
ant2_Und_GL_Tran_KNN5,60
ant2_Und_GL_Tran_Log,64
ant2_Und_Tran_Gauss,68
ant2_Und_Tran_KNN1,54
ant2_Und_Tran_KNN10,67
ant2_Und_Tran_KNN3,57
ant2_Und_Tran_KNN5,59
ant2_Und_Tran_Log,69
arc2_GL_Tran_Gauss,38
arc2_GL_Tran_KNN1,65
arc2_GL_Tran_KNN10,73
arc2_GL_Tran_KNN3,63
arc2_GL_Tran_KNN5,65
arc2_GL_Tran_Log,80
arc2_Tran_Gauss,50
arc2_Tran_KNN1,65
arc2_Tran_KNN10,73
arc2_Tran_KNN3,63
arc2_Tran_KNN5,65
arc2_Tran_Log,76
arc2_Und_GL_Tran_Gauss,32
arc2_Und_GL_Tran_KNN1,51
arc2_Und_GL_Tran_KNN10,64
arc2_Und_GL_Tran_KNN3,53
arc2_Und_GL_Tran_KNN5,55
arc2_Und_GL_Tran_Log,75
arc2_Und_Tran_Gauss,33
arc2_Und_Tran_KNN1,59
arc2_Und_Tran_KNN10,67
arc2_Und_Tran_KNN3,56
arc2_Und_Tran_KNN5,57
arc2_Und_Tran_Log,79
berek2_GL_Tran_Gauss,63
berek2_GL_Tran_KNN1,65
berek2_GL_Tran_KNN10,81
berek2_GL_Tran_KNN3,84
berek2_GL_Tran_KNN5,84
berek2_GL_Tran_Log,81
berek2_Tran_Gauss,76
berek2_Tran_KNN1,65
berek2_Tran_KNN10,81
berek2_Tran_KNN3,84
berek2_Tran_KNN5,84
berek2_Tran_Log,79
berek2_Und_GL_Tran_Gauss,63
berek2_Und_GL_Tran_KNN1,75
berek2_Und_GL_Tran_KNN10,95
berek2_Und_GL_Tran_KNN3,85
berek2_Und_GL_Tran_KNN5,95
