2-means,0.1,0.2,0.3,0.0,0.3,0.2,0.3,0.2,0.5,0.4,0.1,0.6,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.3,0.0,0.1,0.1,0.3,0.0,0.3,0.1,0.4,0.3,0.2,0.1,0.1,0.6,0.2,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.4,0.1,0.6,0.1,0.4,0.0,0.3,0.3,0.2,0.2,0.3,0.4,0.0,0.1,0.3,0.2,0.0,0.3,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.3,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.3,0.3,0.4,0.5,0.5,0.2,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.5,0.4,0.0,0.0,0.3,0.3,0.3,0.2,0.1,0.2,0.4,0.0,0.1,0.2,0.5,0.1,0.1,0.1,0.5,0.1,0.3,0.1,0.0,0.2,0.2,0.0,0.3,0.3,0.5,0.2,0.1,0.0,0.2,0.3,0.4,0.2,0.2,0.1,0.1,0.3,0.1,0.5,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.1,0.4,0.2,0.4,0.5,0.1,0.2,0.4,0.2,0.5,0.0,0.2,0.2,0.0,0.4,0.2,0.2,0.1,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.0,0.2,0.2,0.3,0.3,0.1,0.2,0.4,0.3,0.1,0.1,0.2,0.3,0.0,0.1,0.2,0.3,0.1,0.5,0.6,0.4,0.2,0.1,0.1
entropic,0.0,0.1,0.1,0.2,0.0,0.3,0.4,0.3,0.1,0.0,0.1,0.1,0.0,0.3,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.3,0.1,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.1,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.1,0.1,0.2,0.1,0.3,0.0,0.2,0.1,0.5,0.0,0.0,0.3,0.2,0.0,0.1,0.3,0.1,0.1,0.1,0.3,0.1,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.3,0.3,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.0,0.1,0.2,0.2,0.3,0.0,0.1,0.3,0.5,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.3,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.2,0.2,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.1,0.2,0.1,0.0,0.0,0.2,0.3,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.2
kd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pca,0.4,0.3,0.2,0.1,0.3,0.1,0.0,0.1,0.5,0.1,0.0,0.1,0.4,0.0,0.4,0.2,0.1,0.2,0.1,0.0,0.1,0.5,0.2,0.4,0.2,0.3,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.3,0.0,0.7,0.0,0.1,0.2,0.2,0.3,0.1,0.2,0.5,0.3,0.4,0.2,0.3,0.1,0.1,0.3,0.5,0.1,0.3,0.2,0.3,0.4,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.3,0.1,0.0,0.4,0.0,0.1,0.3,0.1,0.0,0.0,0.4,0.3,0.4,0.3,0.3,0.1,0.0,0.2,0.4,0.0,0.2,0.2,0.4,0.4,0.3,0.0,0.2,0.1,0.1,0.2,0.1,0.3,0.3,0.3,0.2,0.1,0.0,0.2,0.1,0.2,0.1,0.1,0.0,0.4,0.2,0.5,0.4,0.1,0.2,0.0,0.5,0.4,0.2,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.4,0.1,0.3,0.5,0.1,0.3,0.2,0.0,0.1,0.3,0.3,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.2,0.2,0.6,0.2,0.1,0.3,0.4,0.0,0.8,0.1,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.0,0.1,0.3,0.1,0.7,0.2,0.3,0.3,0.2,0.1,0.3,0.5,0.4,0.1,0.3,0.0,0.1,0.1,0.4,0.3,0.1,0.0
random,0.0,0.0,0.2,0.0,0.0,0.3,0.6,0.1,0.0,0.1,0.2,0.4,0.3,0.1,0.5,0.1,0.0,0.2,0.1,0.4,0.3,0.0,0.4,0.0,0.2,0.0,0.1,0.1,0.2,0.1,0.0,0.2,0.3,0.2,0.1,0.1,0.0,0.5,0.2,0.1,0.4,0.2,0.0,0.3,0.0,0.1,0.0,0.2,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.4,0.4,0.1,0.2,0.1,0.4,0.2,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.2,0.0,0.1,0.2,0.4,0.2,0.6,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.4,0.1,0.0,0.1,0.3,0.0,0.2,0.1,0.4,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.1,0.0,0.3,0.3,0.1,0.3,0.0,0.1,0.3,0.2,0.3,0.2,0.1,0.1,0.0,0.3,0.4,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.3,0.4,0.0,0.1,0.4,0.5,0.1,0.3,0.1,0.4,0.4,0.1,0.1,0.4,0.2,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.2,0.1,0.1,0.3,0.0,0.3,0.1,0.2,0.2,0.1,0.1,0.6,0.2,0.1,0.1,0.0,0.2,0.2,0.0,0.4,0.2,0.1,0.1,0.0,0.1,0.3,0.0,0.1
rp,0.0,0.3,0.0,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.3,0.2,0.6,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.2,0.1,0.1,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.3,0.1,0.3,0.0,0.2,0.0,0.0,0.0,0.3,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.2,0.0,0.1,0.0,0.3,0.3,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.0,0.2,0.2,0.1,0.3,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.0,0.2,0.3,0.1,0.1,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.0,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.1,0.1,0.3,0.1,0.0,0.0,0.3,0.1,0.1,0.0,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.0,0.2,0.3,0.0,0.1,0.1,0.0,0.2,0.4,0.1,0.0,0.2,0.1,0.2,0.2,0.0,0.3,0.1,0.2,0.2,0.0,0.0,0.2,0.2
spectral,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.1,0.3,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.3,0.0,0.2,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.1,0.0,0.3,0.2,0.0,0.0,0.3,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.1
where,0.1,0.0,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.3,0.0,0.4,0.0,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.3,0.0,0.0,0.4,0.2,0.4,0.3,0.3,0.8,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,0.3,0.1,0.1,0.0,0.2,0.0,0.1,0.2,0.3,0.2,0.3,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.5,0.0,0.2,0.1,0.2,0.2,0.0,0.0,0.1,0.2,0.0,0.3,0.1,0.3,0.4,0.0,0.0,0.2,0.1,0.3,0.3,0.1,0.1,0.2,0.5,0.0,0.0,0.0,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.4,0.1,0.2,0.1,0.3,0.1,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.3,0.3,0.5,0.1,0.0,0.1,0.0,0.1,0.2,0.3,0.1,0.3,0.1,0.0,0.0,0.1
