
jedit2_cart,100,99,100,100,100,100,100,99,100,100,99,100,100,99,100,99,100,100
k3_0.25_5_jedit2_cart_transfer,47
k3_0.25_5_jedit2_kd_global_transfer,40
k3_0.25_5_jedit2_kd_transfer,39
k_3_0.25_5_jedit2_kd,95,96,92,94,96,96,97,95,92,98,95,93,95,95,97,91,95,97,91,92,95,94,98
k_3_0.25_5_jedit2_kd_global,95,96,92,94,96,96,97,95,92,98,95,93,95,95,97,91,95,97,91,92,95,94,98
