
k_10_0.01_11_derby_2,91,91,91,92,90,91,92,89,93,87,92,91,89,94,88,92,89,92,92,92,92,90,91,93,89
k_10_0.01_11_derby_entropic,93,93,88,89,91,90,91,88,92,88,93,89,91,90,89,93,89,90,93,88,90,91,88,89,91
k_10_0.01_11_derby_kd,90,93,95,93,93,92,92,93,92,92,94,92,94,93,95,93,92,88,93,94,95,93,92,93,93
k_10_0.01_11_derby_pca,93,91,93,89,91,90,91,90,92,91,91,92,94,85,95,92,94,92,91,90,92,90,92,95,90
k_10_0.01_11_derby_random,90,89,91,94,89,90,92,92,91,89,91,95,94,92,93,90,92,92,89,92,92,95,88,91,94
k_10_0.01_11_derby_rp,88,92,89,92,94,93,92,93,93,93,90,95,90,90,94,92,94,92,92,93,91,94,90,89,96
k_10_0.01_11_derby_spectral,93,93,92,89,91,94,88,90,91,91,89,88,92,88,90,93,93,89,93,92,91,89,91,92,92
k_10_0.01_11_derby_where,90,95,90,93,94,90,91,92,91,92,89,92,93,90,91,92,89,92,92,92,95,90,90,92,90
k_10_0.01_13_derby_2,91,91,90,91,91,92,92,91,91,90,91,89,93,93,92,92,91,95,94,91,92,95,89,89,92
k_10_0.01_13_derby_entropic,88,90,88,93,88,88,93,90,94,87,88,90,90,89,87,91,92,91,91,91,89,90,90,90,90
k_10_0.01_13_derby_kd,90,94,94,89,93,90,90,92,88,89,94,89,90,88,90,93,90,93,96,89,94,92,93,89,90
k_10_0.01_13_derby_pca,92,92,96,88,93,93,92,89,91,92,90,95,94,94,89,91,85,93,88,92,93,90,90,94,91
k_10_0.01_13_derby_random,90,91,91,89,91,92,93,92,88,91,92,92,92,88,92,89,93,92,92,91,93,95,91,91,90
k_10_0.01_13_derby_rp,94,89,91,94,93,92,91,93,96,92,95,92,89,90,94,89,93,88,94,93,89,90,95,89,93
k_10_0.01_13_derby_spectral,89,95,90,90,94,90,91,95,93,88,91,91,90,90,92,92,93,92,91,89,95,90,94,91,87
k_10_0.01_13_derby_where,90,91,91,89,92,90,88,88,89,91,93,91,91,91,91,93,90,89,92,92,89,92,89,91,93
k_10_0.01_5_derby_2,91,91,90,95,91,93,91,92,92,92,92,92,91,94,89,97,90,90,93,91,93,88,95,92,92
k_10_0.01_5_derby_entropic,91,91,95,90,91,91,92,93,93,92,89,92,91,91,95,87,94,91,92,92,92,92,90,93,93
k_10_0.01_5_derby_kd,92,91,93,86,92,90,90,92,89,94,93,92,89,87,90,93,92,93,87,92,90,94,92,90,89
k_10_0.01_5_derby_pca,89,96,87,90,93,92,92,94,92,93,88,91,91,90,90,89,92,92,92,91,93,92,87,92,92
k_10_0.01_5_derby_random,94,93,93,94,89,93,89,88,91,92,93,87,94,91,88,95,93,91,90,94,92,90,92,92,92
k_10_0.01_5_derby_rp,94,93,93,90,90,92,90,91,92,94,92,96,93,93,93,91,91,93,93,91,93,96,89,94,95
k_10_0.01_5_derby_spectral,92,92,91,91,90,90,89,93,90,90,89,93,92,93,91,92,90,90,87,90,90,92,90,88,89
k_10_0.01_5_derby_where,95,88,90,93,91,90,93,91,94,89,91,94,90,95,87,95,92,88,93,86,89,91,94,93,90
k_10_0.01_7_derby_2,88,90,90,93,90,90,87,93,86,86,89,88,90,90,88,92,89,88,86,90,91,92,87,85,91
k_10_0.01_7_derby_entropic,91,92,91,92,94,90,91,94,90,93,90,90,90,91,91,93,93,89,91,93,93,95,87,93,91
k_10_0.01_7_derby_kd,92,90,90,90,89,93,92,93,94,95,89,95,93,90,92,95,90,91,91,90,93,93,90,92,95
k_10_0.01_7_derby_pca,93,92,96,92,90,88,90,93,89,91,90,93,93,92,90,93,92,90,89,91,94,91,91,94,92
k_10_0.01_7_derby_random,92,90,89,90,90,92,93,92,90,93,91,89,92,91,90,90,92,91,90,95,92,89,92,93,92
k_10_0.01_7_derby_rp,93,94,88,95,93,92,91,94,96,88,92,93,94,92,97,89,87,90,92,89,95,94,93,92,92
k_10_0.01_7_derby_spectral,89,83,91,94,92,86,89,91,88,90,92,89,94,92,91,90,90,93,89,91,94,91,92,94,90
k_10_0.01_7_derby_where,90,90,89,89,94,93,94,93,90,91,92,91,91,92,91,92,94,93,87,93,91,93,92,91,90
k_10_0.01_9_derby_2,92,93,94,87,90,93,91,89,88,93,92,87,93,93,93,89,92,88,89,90,92,90,89,89,92
k_10_0.01_9_derby_entropic,93,90,90,93,89,94,93,95,90,95,88,94,91,89,93,94,88,95,93,89,90,92,90,95,92
k_10_0.01_9_derby_kd,90,91,89,92,93,92,94,94,91,91,94,95,92,90,93,93,92,94,90,92,94,94,93,94,91
k_10_0.01_9_derby_pca,92,90,89,91,91,93,89,89,94,90,86,90,90,89,94,93,86,91,92,88,91,92,91,92,90
k_10_0.01_9_derby_random,94,94,92,94,88,92,90,92,89,92,92,92,89,90,89,92,92,90,87,90,91,90,92,92,90
k_10_0.01_9_derby_rp,94,95,90,91,92,98,91,90,89,92,91,90,92,92,92,90,95,89,91,88,93,90,92,89,94
k_10_0.01_9_derby_spectral,88,94,92,90,93,90,93,89,93,93,91,93,90,93,87,89,92,90,89,93,89,88,89,92,91
k_10_0.01_9_derby_where,94,93,89,90,89,90,92,91,92,92,89,89,88,91,89,90,92,90,89,91,90,90,91,92,89
k_10_0.05_11_derby_2,90,91,89,93,92,91,90,87,93,89,88,92,96,90,88,95,89,88,89,92,91,88,88,94,89
k_10_0.05_11_derby_entropic,90,91,89,91,90,91,90,89,92,90,92,90,88,91,89,90,89,93,90,91,91,91,91,89,89
k_10_0.05_11_derby_kd,92,91,94,95,96,91,93,91,92,93,95,95,97,93,94,94,92,95,94,92,94,94,92,92,97
k_10_0.05_11_derby_pca,90,93,91,92,98,93,92,92,93,91,92,95,95,90,92,90,92,95,92,92,93,93,92,91,89
k_10_0.05_11_derby_random,91,92,92,90,87,82,93,92,90,91,87,90,91,94,89,90,93,88,91,92,92,87,90,91,92
k_10_0.05_11_derby_rp,95,90,89,93,89,92,92,92,90,90,89,86,94,93,85,91,92,93,92,92,88,94,94,93,88
k_10_0.05_11_derby_spectral,92,92,93,90,94,94,92,94,91,94,89,93,93,92,88,94,94,90,94,93,90,92,92,91,92
k_10_0.05_11_derby_where,92,94,93,90,92,97,92,92,92,90,93,89,93,93,88,93,91,91,90,92,92,91,89,91,92
k_10_0.05_13_derby_2,92,90,94,92,93,93,89,92,94,92,93,87,91,93,90,88,93,92,91,92,95,95,95,91,92
k_10_0.05_13_derby_entropic,90,92,93,90,94,90,93,89,89,93,90,94,97,87,95,93,94,90,91,91,91,96,89,89,91
k_10_0.05_13_derby_kd,94,93,90,94,93,94,95,95,93,96,93,94,92,91,94,94,95,95,96,92,90,94,91,95,93
k_10_0.05_13_derby_pca,89,92,85,90,89,86,92,91,85,91,94,90,89,91,93,88,90,87,92,89,89,90,90,90,88
k_10_0.05_13_derby_random,91,94,90,92,91,91,93,94,90,90,92,86,91,90,92,93,89,94,92,94,94,91,90,91,91
k_10_0.05_13_derby_rp,94,91,90,94,89,91,94,93,92,87,96,92,92,91,90,92,94,92,91,94,95,95,92,90,90
k_10_0.05_13_derby_spectral,89,90,89,88,87,89,90,93,91,90,85,89,87,94,89,92,88,85,91,92,89,90,90,90,90
k_10_0.05_13_derby_where,92,91,90,91,89,93,96,93,90,85,94,90,90,87,90,93,93,91,95,90,91,88,89,95,91
k_10_0.05_5_derby_2,92,91,89,88,92,95,91,91,88,93,88,84,92,88,89,91,93,91,92,94,92,93,90,89,93
k_10_0.05_5_derby_entropic,89,92,90,90,88,89,93,91,90,90,90,92,90,91,92,87,93,88,87,91,91,90,90,88,92
k_10_0.05_5_derby_kd,92,96,92,95,95,93,95,94,95,88,94,95,95,93,90,91,96,96,91,90,93,92,92,92,93
k_10_0.05_5_derby_pca,91,90,93,93,90,94,89,91,91,90,93,90,93,93,91,95,87,95,94,95,87,90,94,94,95
k_10_0.05_5_derby_random,93,90,94,94,95,90,90,93,95,91,92,94,94,92,91,97,89,90,93,92,91,95,92,92,93
k_10_0.05_5_derby_rp,88,90,95,94,92,92,93,93,93,93,94,92,88,93,90,92,94,94,94,90,92,92,94,92,93
k_10_0.05_5_derby_spectral,91,91,89,95,90,91,94,93,91,91,92,88,90,94,88,92,93,93,90,95,91,93,91,90,91
k_10_0.05_5_derby_where,96,89,92,90,89,95,95,92,92,89,88,91,92,91,92,92,91,88,90,88,88,88,92,92,92
k_10_0.05_7_derby_2,91,90,95,88,93,89,89,90,92,91,90,96,95,92,91,93,89,91,90,94,90,92,88,97,90
k_10_0.05_7_derby_entropic,89,91,90,90,86,93,90,88,93,90,91,91,88,88,92,89,91,90,92,90,87,90,91,90,88
k_10_0.05_7_derby_kd,90,92,91,92,93,95,95,93,92,94,92,95,94,94,93,93,92,94,93,93,92,94,94,92,90
