rank ,         name ,    med   ,  iqr 
----------------------------------------------------
   1 , k_3_0.01_11_accumulo_spectral ,       0  ,     0 (*              |              ), 0.00,  0.00,  0.00,  0.00,  0.00
   1 , k_3_0.2_9_accumulo_entropic ,       0  ,     0 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0_13_accumulo_entropic ,       0  ,     0 (*--------------|------------- ), 0.00,  0.00,  0.00,  0.00, 100.00
   1 , k_3_0.2_13_accumulo_where ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0_11_accumulo_pca ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.25_5_accumulo_pca ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.01_13_accumulo_where ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0_9_accumulo_random ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 98.00, 100.00
   1 , k_3_0_7_accumulo_spectral ,       0  ,     0 (*--------------|------------- ), 0.00,  0.00,  0.00,  0.00, 100.00
   1 , k_3_0.05_5_accumulo_kd ,       0  ,     0 (*              |              ), 0.00,  0.00,  0.00,  0.00,  0.00
   1 , k_3_0.05_11_accumulo_entropic ,       0  ,     0 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.1_11_accumulo_rp ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.25_13_accumulo_kd ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.2_5_accumulo_rp ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.15_9_accumulo_random ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 98.00, 100.00
   1 , k_3_0.1_7_accumulo_2 ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
   1 , k_3_0.01_9_accumulo_pca ,       0  ,  10000 (*              |              ), 0.00,  0.00,  0.00, 100.00, 100.00
