
k_3_0.01_11_accumulo_2,100.0,100.0,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_11_accumulo_entropic,100.0,99.4186046512,100.0,99.4152046784,99.4152046784,99.4152046784
k_3_0.01_11_accumulo_kd,99.4152046784,99.4152046784,99.4186046512,99.4186046512,99.4186046512
k_3_0.01_11_accumulo_pca,99.4186046512,100.0,99.4152046784,99.4152046784,100.0
k_3_0.01_11_accumulo_random,100.0,99.4152046784,99.4186046512,99.0058139535,100.0,99.4186046512,99.4152046784,99.4152046784
k_3_0.01_11_accumulo_rp,99.4152046784,99.4152046784,99.4152046784,100.0,100.0,99.4152046784
k_3_0.01_11_accumulo_spectral,99.4186046512,99.4152046784,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_11_accumulo_where,99.4186046512,99.4152046784,99.4186046512,99.4152046784,100.0
k_3_0.01_13_accumulo_2,99.4186046512,99.4152046784,99.4152046784,99.4186046512,100.0
k_3_0.01_13_accumulo_entropic,99.4186046512,99.4186046512,99.4186046512,99.4186046512,100.0,99.4186046512,100.0
k_3_0.01_13_accumulo_kd,100.0,100.0,100.0,100.0,99.4186046512
k_3_0.01_13_accumulo_pca,100.0,99.4152046784,99.4152046784,99.4152046784,99.4152046784
k_3_0.01_13_accumulo_random,99.4152046784,100.0,99.4186046512,99.4186046512,98.4244186047,100.0,99.4152046784,99.4152046784,98.4244186047
k_3_0.01_13_accumulo_rp,99.4186046512,99.4152046784,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_13_accumulo_spectral,99.4152046784,100.0,100.0,100.0,99.4186046512
k_3_0.01_13_accumulo_where,99.4186046512,100.0,100.0,99.4152046784,99.4152046784
k_3_0.01_5_accumulo_2,100.0,99.4152046784,100.0,100.0,100.0
k_3_0.01_5_accumulo_entropic,99.4152046784,100.0,99.4186046512,100.0,99.4152046784,99.4152046784,99.4152046784
k_3_0.01_5_accumulo_kd,100.0,100.0,99.4186046512,99.4152046784,100.0
k_3_0.01_5_accumulo_pca,100.0,99.4186046512,99.4152046784,99.4186046512,100.0
k_3_0.01_5_accumulo_random,99.4152046784,100.0,99.4186046512,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_5_accumulo_rp,99.4152046784,99.4186046512,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_5_accumulo_spectral,100.0,99.4186046512,100.0,99.4152046784,99.4186046512
k_3_0.01_5_accumulo_where,100.0,100.0,100.0,99.4152046784,99.4186046512
k_3_0.01_7_accumulo_2,99.4186046512,99.4186046512,99.4152046784,100.0,100.0
k_3_0.01_7_accumulo_entropic,99.4186046512,100.0,100.0,99.4186046512,100.0,100.0,99.4152046784
k_3_0.01_7_accumulo_kd,100.0,99.4186046512,99.4152046784,100.0,99.4152046784
k_3_0.01_7_accumulo_pca,100.0,100.0,99.4186046512,100.0,99.4152046784
k_3_0.01_7_accumulo_random,99.4186046512,99.4152046784,98.4244186047,100.0,99.4152046784,99.4152046784,98.4210526316,98.4210526316,99.4152046784,98.4210526316
k_3_0.01_7_accumulo_rp,99.4186046512,99.4186046512,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_7_accumulo_spectral,100.0,100.0,100.0,100.0,99.4152046784
k_3_0.01_7_accumulo_where,99.4152046784,99.4152046784,99.4152046784,100.0,100.0
k_3_0.01_9_accumulo_2,99.4152046784,99.4186046512,100.0,100.0,99.4152046784
k_3_0.01_9_accumulo_entropic,100.0,100.0,99.4152046784,99.4152046784,99.4152046784,99.4186046512
k_3_0.01_9_accumulo_kd,99.4186046512,100.0,100.0,99.4152046784,100.0
